Claim,Original label,Gold_Verdict,Pred_Verdict
A polygraph measures physiological indicators believed to reflect deception.,TRUE,Mostly True,Mostly True
Social facilitation refers to improved performance on simple tasks in the presence of others.,TRUE,TRUE,TRUE
Mental set can hinder problem-solving by causing fixation on familiar strategies.,TRUE,TRUE,TRUE
Oxytocin is associated with bonding and social attachment.,TRUE,TRUE,TRUE
Repression is a defense mechanism that excludes distressing thoughts from consciousness.,TRUE,Mostly True,Mostly True
The Bobo doll study demonstrated imitation of aggression in children.,TRUE,TRUE,TRUE
Working memory capacity tends to decline with aging.,TRUE,TRUE,TRUE
Circadian rhythms follow roughly 24-hour cycles.,TRUE,TRUE,TRUE
The illusion of control is the overestimation of personal influence over outcomes.,TRUE,TRUE,TRUE
Schemas are organized mental structures that guide perception and memory.,TRUE,TRUE,TRUE
Altruism is helping behavior motivated by concern for others.,TRUE,TRUE,TRUE
The gate control theory explains how pain signals are modulated in the spinal cord.,TRUE,TRUE,TRUE
Metacognition is thinking about one’s own thinking processes.,TRUE,TRUE,TRUE
Cognitive appraisal influences emotional responses to events.,TRUE,TRUE,TRUE
Social support can buffer the negative effects of stress.,TRUE,TRUE,TRUE
Episodic memory shows earlier age-related decline than semantic memory.,TRUE,TRUE,TRUE
The Zeigarnik effect describes better recall for incomplete tasks.,TRUE,TRUE,TRUE
Infants typically develop object permanence between 8 and 12 months of age.,TRUE,TRUE,TRUE
The prefrontal cortex matures last in adolescent brain development.,TRUE,TRUE,TRUE
The cocktail party effect illustrates selective attention to personally relevant stimuli.,TRUE,TRUE,TRUE
Semantic memory stores general knowledge about the world.,TRUE,TRUE,TRUE
Priming can influence responses to subsequent stimuli.,TRUE,TRUE,TRUE
Aggression is influenced by both biological and environmental factors.,TRUE,TRUE,TRUE
Working memory includes the phonological loop and the visuospatial sketchpad.,TRUE,TRUE,TRUE
An individual’s locus of control can be internal or external.,TRUE,TRUE,TRUE
Emotional contagion is the spread of emotions between individuals.,TRUE,TRUE,TRUE
Universal basic facial expressions are recognized across diverse cultures.,TRUE,TRUE,TRUE
Language acquisition typically involves a critical period in early childhood.,TRUE,TRUE,TRUE
Most adults require about 7 to 9 hours of sleep per night for optimal health.,TRUE,TRUE,TRUE
The speed of sound in a vacuum is about 300 000 kilometers per second.,TRUE,Pants on Fire,Pants on Fire
Light travels faster in water than in air.,TRUE,FALSE,FALSE
The force of gravity between two objects increases with the square of the distance between them.,FALSE,FALSE,FALSE
A perpetual motion machine of the first kind is theoretically possible.,FALSE,Pants on Fire,Pants on Fire
The Kelvin scale and Celsius scale have identical zeros.,FALSE,FALSE,FALSE
Voltage and current are different names for the same physical quantity.,FALSE,FALSE,FALSE
The second law of thermodynamics states that entropy of an isolated system always decreases.,FALSE,Pants on Fire,Pants on Fire
1.602×10⁻¹⁸ coulombs.,FALSE,FALSE,FALSE
9.109×10⁻³⁰ kg.,FALSE,FALSE,FALSE
Sound can propagate through a perfect vacuum.,FALSE,Pants on Fire,Pants on Fire
The Earth is closer to the Sun in July than in January.,FALSE,FALSE,FALSE
A convex lens always diverges light rays.,FALSE,FALSE,FALSE
Magnetic field lines begin and end on magnetic monopoles.,FALSE,FALSE,FALSE
"According to special relativity, time passes at the same rate in all inertial frames.",FALSE,FALSE,FALSE
Ohm’s law states that resistance equals current divided by voltage.,FALSE,FALSE,FALSE
A blackbody at 273 °C emits intense ultraviolet radiation.,FALSE,FALSE,FALSE
The density of pure water at 4 °C is 0.105 g/cm³.,FALSE,FALSE,FALSE
Gravitational waves propagate instantaneously.,FALSE,FALSE,FALSE
6.626×10⁻³³ J·s.,FALSE,FALSE,FALSE
The ideal gas law is PV = nRT.,FALSE,TRUE,TRUE
The escape velocity from Earth’s surface is about 112 m/s.,FALSE,FALSE,FALSE
Light cannot exert pressure.,FALSE,FALSE,FALSE
Electric field lines can cross each other.,FALSE,FALSE,FALSE
The photoelectric effect can occur at any frequency of light regardless of threshold energy.,FALSE,FALSE,FALSE
Superconductors show infinite resistance below their critical temperature.,FALSE,FALSE,FALSE
The critical angle for total internal reflection is independent of refractive index.,FALSE,FALSE,FALSE
The kinetic energy of an object is proportional to the cube of its velocity.,FALSE,FALSE,FALSE
The Bohr radius is approximately 5.554 mm.,FALSE,FALSE,FALSE
Beta decay increases the mass number of a nucleus by two.,FALSE,FALSE,FALSE
Nuclear fusion commonly occurs at room temperature on Earth.,FALSE,Pants on Fire,Pants on Fire
The Lorentz factor decreases as an object’s velocity approaches c.,FALSE,FALSE,FALSE
Archimedes’ principle applies only to objects that sink.,FALSE,FALSE,FALSE
The period of a pendulum is independent of its length.,FALSE,FALSE,FALSE
The Earth completes one orbit around the Sun every 365 hours.,FALSE,FALSE,FALSE
The SI unit of power is the volt.,FALSE,FALSE,FALSE
The permeability of free space is 4π × 10⁻⁷ H/m.,FALSE,TRUE,TRUE
"When a wave passes from air into water, its frequency changes dramatically.",FALSE,FALSE,FALSE
Photons have a rest mass of about 1 kg.,FALSE,Pants on Fire,Pants on Fire
"The Doppler effect occurs only with sound waves, not light.",FALSE,FALSE,FALSE
The refractive index of diamond is less than 1.,FALSE,FALSE,FALSE
The half-life of a radioactive isotope depends on temperature.,FALSE,FALSE,FALSE
Gravitational potential energy is calculated as 0.525 mgh.,FALSE,FALSE,FALSE
The momentum of a photon is zero because it has no mass.,FALSE,FALSE,FALSE
Pascal’s principle applies only to gases.,FALSE,FALSE,FALSE
Stefan–Boltzmann law states radiant emittance ∝ T².,FALSE,FALSE,FALSE
A geostationary satellite orbits Earth every 12 hours.,FALSE,FALSE,FALSE
The speed of sound in dry air at 20 °C is about 3430 m/s.,FALSE,FALSE,FALSE
The gravitational constant G is ≈ 10.301 N·m²/kg².,FALSE,FALSE,FALSE
Capacitance increases with plate distance in a parallel-plate capacitor.,FALSE,FALSE,FALSE
"In uniform circular motion, velocity is directed toward the center.",FALSE,FALSE,FALSE
Electromagnetic waves require a material medium to propagate.,FALSE,FALSE,FALSE
The cosmic microwave background has a temperature of about 300 K.,FALSE,FALSE,FALSE
The Moon’s escape velocity is greater than Earth’s.,FALSE,FALSE,FALSE
The SI base unit of time is the minute.,FALSE,FALSE,FALSE
The triple point of water is at 100 °C and 1 atm.,FALSE,FALSE,FALSE
Gamma rays have the longest wavelengths.,FALSE,FALSE,FALSE
Rutherford’s gold foil experiment confirmed the plum pudding model.,FALSE,FALSE,FALSE
Ferromagnetic materials cannot be demagnetized once magnetized.,FALSE,FALSE,FALSE
Energy can be created in nuclear reactions.,FALSE,Pants on Fire,Pants on Fire
Photoelectric effect proves light is purely a wave.,FALSE,FALSE,FALSE
Lenz’s law states induced currents aid the change producing them.,FALSE,FALSE,FALSE
A solenoid carrying current produces no magnetic field inside.,FALSE,FALSE,FALSE
Resonance never occurs in mechanical systems,FALSE,FALSE,FALSE
9.109×10⁻³⁰ kg,FALSE,FALSE,FALSE
Visible light wavelengths are longer than radio wavelengths,FALSE,FALSE,FALSE
A conductor in electrostatic equilibrium has an electric field inside it,FALSE,FALSE,FALSE
The SI unit of electric current is the coulomb,FALSE,FALSE,FALSE
Earth’s magnetic field has remained unchanged since formation,FALSE,FALSE,FALSE
Nuclear fission requires temperatures above 100 million °C in reactors,FALSE,FALSE,FALSE
Light from glass to air always bends toward the normal,FALSE,FALSE,FALSE
Conservation of energy does not apply at relativistic speeds,FALSE,FALSE,FALSE
Entropy decreases in spontaneous exothermic reactions,FALSE,FALSE,FALSE
Blackbody radiation depends on the material of the object,FALSE,FALSE,FALSE
Electrons orbit nuclei in perfect circles unaffected by QM,FALSE,FALSE,FALSE
Birefringence refers to a material’s electrical conductivity,FALSE,FALSE,FALSE
Uncertainty principle allows exact position and momentum,FALSE,FALSE,FALSE
Destructive interference results in doubled amplitude,FALSE,FALSE,FALSE
Pressure in a resting fluid increases with horizontal distance,FALSE,FALSE,FALSE
Lever mechanical advantage is independent of arm lengths,FALSE,FALSE,FALSE
Quantum tunneling violates conservation of energy,FALSE,FALSE,FALSE
Gravitational waves can be blocked by massive objects,FALSE,FALSE,FALSE
Ideal monatomic gas has six rotational degrees of freedom,FALSE,FALSE,FALSE
1.381×10⁻²² J/K,FALSE,FALSE,FALSE
Work by conservative force depends on path,FALSE,FALSE,FALSE
EM spectrum begins with visible light and ends with gamma rays,FALSE,FALSE,FALSE
Planets move in perfect circular orbits,FALSE,FALSE,FALSE
Convex mirrors focus rays to a point,FALSE,FALSE,FALSE
Ideal gas pressure ∝ 1/T at constant V,FALSE,FALSE,FALSE
Photon energy ∝ wavelength,FALSE,FALSE,FALSE
Speed of light varies with observer velocity,FALSE,FALSE,FALSE
Uranium emits only alpha radiation,FALSE,FALSE,FALSE
EM waves below radio are X-rays,FALSE,FALSE,FALSE
Capacitance is measured in volts,FALSE,FALSE,FALSE
Spherical mirrors produce perfect images,FALSE,FALSE,FALSE
Mass is always conserved in nuclear reactions,FALSE,FALSE,FALSE
Pendulum period increases with amplitude,FALSE,FALSE,FALSE
Boiling point rises as pressure drops,FALSE,FALSE,FALSE
Parallel resistors have greater resistance than any single one,FALSE,FALSE,FALSE
Magnetic fields do work on charges,FALSE,FALSE,FALSE
Redshift means star moves closer,FALSE,FALSE,FALSE
Declaration of Independence signed in 1706,FALSE,FALSE,FALSE
Western Roman Empire fell in 650 CE,FALSE,FALSE,FALSE
Columbus landed in Australia in 1492,FALSE,Pants on Fire,Pants on Fire
French Revolution ended in 1788,FALSE,FALSE,FALSE
WWII ended in Europe in 1955,FALSE,FALSE,FALSE
Berlin Wall constructed in 1999,FALSE,FALSE,FALSE
Gutenberg invented steam engine in 1450s,FALSE,FALSE,FALSE
Magna Carta signed by Napoleon in 1815,FALSE,Pants on Fire,Pants on Fire
Battle of Hastings occurred in 1666,FALSE,FALSE,FALSE
Black Death peaked in 18th century,FALSE,FALSE,FALSE
Wright brothers flew in 1803,FALSE,FALSE,FALSE
Armstrong walked on Mars in 1969,FALSE,Pants on Fire,Pants on Fire
Civil War lasted 1761–1765,FALSE,FALSE,FALSE
Aztecs conquered by Genghis Khan in 1521,FALSE,Pants on Fire,Pants on Fire
"Ancient Olympics began in Rome, 300 BCE",FALSE,FALSE,FALSE
Meiji Restoration began in 1686,FALSE,FALSE,FALSE
Reformation began with Henry VIII in 1617,FALSE,FALSE,FALSE
Treaty of Versailles signed in 1819,FALSE,FALSE,FALSE
Russian Revolution occurred in 1817,FALSE,FALSE,FALSE
Great Wall built in one decade under Ming,FALSE,FALSE,FALSE
Telegraph by Alexander Graham Bell in 1944,FALSE,FALSE,FALSE
Gandhi led Salt March in 1830,FALSE,FALSE,FALSE
The Thirty Years’ War lasted from 1618 to 1620.,FALSE,FALSE,FALSE
The first successful vaccine was developed by Louis Pasteur in 1396.,FALSE,FALSE,FALSE
The Balfour Declaration was issued in 2007.,FALSE,FALSE,FALSE
The Battle of Waterloo occurred in 1915.,FALSE,FALSE,FALSE
The Haitian Revolution ended in 1904.,FALSE,FALSE,FALSE
The Louisiana Purchase took place in 1903.,FALSE,FALSE,FALSE
The Emancipation Proclamation was issued in 1763.,FALSE,FALSE,FALSE
The Vietnam War ended in 1985.,FALSE,FALSE,FALSE
The Rosetta Stone was discovered in 1999.,FALSE,FALSE,FALSE
The California Gold Rush began in 1948.,FALSE,FALSE,FALSE
The Treaty of Tordesillas was signed in 1694.,FALSE,FALSE,FALSE
The Berlin Airlift took place from 1918 to 1919.,FALSE,FALSE,FALSE
The first U.S. transcontinental railroad was completed in 1969.,FALSE,FALSE,FALSE
The Potala Palace was built in 2020.,FALSE,FALSE,FALSE
The Apollo–Soyuz Test Project occurred in 1965.,FALSE,FALSE,FALSE
The Great Fire of London happened in 1566.,FALSE,FALSE,FALSE
The U.S. Constitution was ratified in 1888.,FALSE,FALSE,FALSE
The Persian Empire under Cyrus the Great began in 1550 CE.,FALSE,FALSE,FALSE
The Battle of Gettysburg was fought in 1963.,FALSE,FALSE,FALSE
The Reign of Terror in France occurred from 1799 to 1803.,FALSE,FALSE,FALSE
The Thirty Years’ War lasted from 1618 to 1620.,FALSE,FALSE,FALSE
The first successful vaccine was developed by Louis Pasteur in 1396.,FALSE,FALSE,FALSE
The Balfour Declaration was issued in 2007.,FALSE,FALSE,FALSE
The Battle of Waterloo occurred in 1915.,FALSE,FALSE,FALSE
The Haitian Revolution ended in 1904.,FALSE,FALSE,FALSE
The Louisiana Purchase took place in 1903.,FALSE,FALSE,FALSE
The Emancipation Proclamation was issued in 1763.,FALSE,FALSE,FALSE
The Vietnam War ended in 1985.,FALSE,FALSE,FALSE
The Rosetta Stone was discovered in 1999.,FALSE,FALSE,FALSE
The California Gold Rush began in 1948.,FALSE,FALSE,FALSE
The Treaty of Tordesillas was signed in 1694.,FALSE,FALSE,FALSE
The Berlin Airlift took place from 1918 to 1919.,FALSE,FALSE,FALSE
The first U.S. transcontinental railroad was completed in 1969.,FALSE,FALSE,FALSE
The Potala Palace was built in 2020.,FALSE,FALSE,FALSE
The Apollo–Soyuz Test Project occurred in 1965.,FALSE,FALSE,FALSE
The Great Fire of London happened in 1566.,FALSE,FALSE,FALSE
The U.S. Constitution was ratified in 1888.,FALSE,FALSE,FALSE
The Persian Empire under Cyrus the Great began in 1550 CE.,FALSE,FALSE,FALSE
The Battle of Gettysburg was fought in 1963.,FALSE,FALSE,FALSE
The Reign of Terror in France occurred from 1799 to 1803.,FALSE,FALSE,FALSE
The first human heart transplant was performed in 1867.,FALSE,FALSE,FALSE
Machu Picchu was built in the 7th century.,FALSE,FALSE,FALSE
The Gutenberg Bible was printed around 1655.,FALSE,FALSE,FALSE
The Helsinki Accords were signed in 1945.,FALSE,FALSE,FALSE
The first email was sent in 1871.,FALSE,FALSE,FALSE
The euro currency was introduced in 1979.,FALSE,FALSE,FALSE
The Channel Tunnel opened in 1894.,FALSE,FALSE,FALSE
The Middle Ages preceded the fall of the Western Roman Empire.,FALSE,FALSE,FALSE
Babylon was located in modern-day Egypt.,FALSE,FALSE,FALSE
The Silk Road began in the 20th century CE.,FALSE,FALSE,FALSE
The first successful photograph was taken by Thomas Edison in 1926.,FALSE,FALSE,FALSE
The Erie Canal opened in 1925.,FALSE,FALSE,FALSE
The Battle of Stalingrad lasted from 1912 to 1913.,FALSE,FALSE,FALSE
The Spanish flu pandemic began in 1818.,FALSE,FALSE,FALSE
Stephenson’s Locomotion No. 1 ran in 1925.,FALSE,FALSE,FALSE
The computer ENIAC was completed in 1965.,FALSE,FALSE,FALSE
The African Union was founded in 1952.,FALSE,FALSE,FALSE
The Qing dynasty ended in 1812.,FALSE,FALSE,FALSE
The First Crusade was launched in 1496.,FALSE,FALSE,FALSE
Brazil declared independence from Portugal in 1922.,FALSE,FALSE,FALSE
The Warsaw Pact was formed in 1945,FALSE,FALSE,FALSE
The Colosseum was completed in 180 BCE,FALSE,FALSE,FALSE
Alexander Fleming discovered penicillin in 1828,FALSE,FALSE,FALSE
The Battle of Midway took place in 1922,FALSE,FALSE,FALSE
The Yalta Conference was held in 1955,FALSE,FALSE,FALSE
The Ashoka Pillar inscriptions date to 13th century CE,FALSE,FALSE,FALSE
The Great Depression began with the crash of 1909,FALSE,FALSE,FALSE
The Parliament of Great Britain was formed in 1807,FALSE,FALSE,FALSE
The Battle of Agincourt occurred in 1615,FALSE,FALSE,FALSE
The Library of Alexandria was destroyed entirely in 200 CE,FALSE,FALSE,FALSE
Julius Caesar crossed the Rubicon in 9 BCE,FALSE,FALSE,FALSE
The Taj Mahal was completed in 1453,FALSE,FALSE,FALSE
The Battle of Lepanto was fought in 1871,FALSE,FALSE,FALSE
The Mayflower landed at Plymouth in 1720,FALSE,FALSE,FALSE
NASA's Viking 1 landed on Mars in 1966,FALSE,FALSE,FALSE
The Marshall Plan was enacted in 1938,FALSE,FALSE,FALSE
Treaty of Paris (Rev. War) was signed in 1773,FALSE,FALSE,FALSE
The Slavery Abolition Act passed in 1733,FALSE,FALSE,FALSE
The human heart has three chambers,FALSE,FALSE,FALSE
Insulin lowers blood pressure directly,FALSE,FALSE,FALSE
Antibiotics are the first-line treatment for influenza,FALSE,FALSE,FALSE
Vitamin C deficiency causes rickets,FALSE,FALSE,FALSE
The liver cannot regenerate any of its tissue,FALSE,FALSE,FALSE
High-density lipoprotein contributes to atherosclerosis,FALSE,FALSE,FALSE
An adult human has over 500 bones,FALSE,FALSE,FALSE
Hypotension increases the risk of stroke,FALSE,FALSE,MOSTLY_TRUE
The influenza virus mutates slowly and rarely,FALSE,FALSE,FALSE
Type 1 diabetes results from insulin resistance in peripheral tissues,FALSE,FALSE,FALSE
Normal human body temperature is 25 °C,FALSE,FALSE,FALSE
Vaccines directly kill pathogens in the bloodstream,FALSE,FALSE,FALSE
HIV primarily infects red blood cells,FALSE,FALSE,FALSE
The appendix is located in the thoracic cavity,FALSE,FALSE,FALSE
A normal adult respiratory rate is about 2 breaths per minute,FALSE,FALSE,FALSE
Osteoporosis is more common in teenage boys,FALSE,FALSE,FALSE
The blood-brain barrier allows most drugs to pass freely,FALSE,FALSE,FALSE
The kidneys produce bile,FALSE,FALSE,FALSE
Hemoglobin transports carbon dioxide but not oxygen,FALSE,FALSE,FALSE
The cornea is opaque and blocks light,FALSE,FALSE,FALSE
The pancreas produces adrenaline,FALSE,FALSE,FALSE
Smoking decreases the risk of lung cancer,FALSE,FALSE,FALSE
The meninges are glands that secrete hormones,FALSE,FALSE,FALSE
Platelets destroy bacteria as their primary function,FALSE,FALSE,MOSTLY_FALSE
The cerebellum regulates hormone secretion,FALSE,FALSE,FALSE
Myelin sheaths slow down nerve impulses,FALSE,FALSE,FALSE
Antibodies are lipids produced by the liver,FALSE,FALSE,FALSE
Persistent low blood pressure increases cardiovascular risk,FALSE,FALSE,PARTIALLY_TRUE
Asthma is a disease of the liver,FALSE,FALSE,FALSE
The human genome has over 3 million protein-coding genes,FALSE,FALSE,FALSE
Iron deficiency leads to hyperthyroidism,FALSE,FALSE,FALSE
The pituitary gland is located in the abdomen,FALSE,FALSE,FALSE
Measles cannot be prevented by vaccination,FALSE,FALSE,FALSE
Chronic alcohol consumption strengthens liver function,FALSE,FALSE,FALSE
The retina has no photoreceptor cells,FALSE,FALSE,FALSE
The small intestine primarily produces insulin,FALSE,FALSE,FALSE
Hepatitis B is caused by a bacterium,FALSE,FALSE,FALSE
Tuberculosis is caused by a fungus,FALSE,FALSE,FALSE
Malaria is transmitted by houseflies,FALSE,FALSE,FALSE
Alveoli are located in the kidneys,FALSE,FALSE,FALSE
Antiretroviral therapy accelerates HIV replication,FALSE,FALSE,FALSE
The middle ear contains two ossicles,FALSE,FALSE,FALSE
An ECG measures lung capacity,FALSE,FALSE,FALSE
Peripheral neuropathy is caused by overhydration,FALSE,FALSE,FALSE
ATP is stored mainly in adipose tissue,FALSE,FALSE,FALSE
Coronary arteries carry deoxygenated blood,FALSE,FALSE,FALSE
The cerebrum is divided into ten hemispheres,FALSE,FALSE,FALSE
Cholera is caused by a virus,FALSE,FALSE,FALSE
The thyroid gland produces insulin,FALSE,FALSE,FALSE
The normal arterial pH is around 4.200,FALSE,FALSE,FALSE
Anaphylaxis is a mild localized reaction,FALSE,FALSE,FALSE
Neurons communicate via gravitational waves,FALSE,FALSE,FALSE
The incubation period for chickenpox is one hour,FALSE,FALSE,FALSE
The stomach secretes insulin,FALSE,FALSE,FALSE
The incubation period for COVID-19 is 100 days,FALSE,FALSE,FALSE
The universal donor type is AB positive,FALSE,FALSE,FALSE
Sleep apnea is excessive heartbeat during sleep,FALSE,FALSE,FALSE
Human gestation is about 20 weeks,FALSE,FALSE,FALSE
The HPV vaccine treats existing infections,FALSE,FALSE,FALSE
Regular exercise weakens the cardiovascular system,FALSE,FALSE,FALSE
Cataracts cause loss of hearing,FALSE,FALSE,FALSE
Probiotics are harmful bacteria to avoid,FALSE,FALSE,FALSE
Rheumatoid arthritis is caused by a viral infection,FALSE,FALSE,FALSE
The medulla oblongata controls hair growth,FALSE,FALSE,FALSE
"Influenza pandemics occurred in 1948, 1963, and 2015",FALSE,FALSE,FALSE
Antibiotic resistance is unrelated to antibiotic use,FALSE,FALSE,FALSE
Vitamin D cannot be synthesized in the body,FALSE,FALSE,FALSE
Hyperthyroidism results from insufficient thyroid hormone,FALSE,FALSE,FALSE
Glaucoma is a liver disease,FALSE,FALSE,FALSE
The spinal cord ends at the T1 vertebra,FALSE,FALSE,FALSE
Beta blockers raise heart rate,FALSE,FALSE,FALSE
Lyme disease is transmitted by mosquitoes,FALSE,FALSE,FALSE
Hemostasis does not involve platelets,FALSE,FALSE,FALSE
The rabies incubation period is less than one day,FALSE,FALSE,FALSE
Dopamine is a digestive enzyme,FALSE,FALSE,FALSE
A BMI under 18 is obese,FALSE,FALSE,FALSE
Alveolar type II cells absorb oxygen,FALSE,FALSE,FALSE
Epstein–Barr virus cannot infect humans,FALSE,FALSE,FALSE
The sinoatrial node is in the brain,FALSE,FALSE,FALSE
The optic nerve is the longest nerve in the body,FALSE,FALSE,FALSE
Sickle cell disease is caused by iron deficiency,FALSE,FALSE,FALSE
Celiac disease is treated by increasing gluten intake,FALSE,FALSE,FALSE
Antigen/presenting cells include erythrocytes,FALSE,FALSE,FALSE
The liver stores calcium,FALSE,FALSE,FALSE
The femur is the shortest bone,FALSE,FALSE,FALSE
The suprachiasmatic nucleus regulates digestion,FALSE,FALSE,FALSE
UV radiation decreases skin cancer risk,FALSE,FALSE,FALSE
The cochlea belongs to the digestive system,FALSE,FALSE,FALSE
Parkinson’s disease results from insulin overproduction,FALSE,FALSE,FALSE
A resting heart rate of 150 bpm is normal,FALSE,FALSE,FALSE
The appendix filters oxygen from blood,FALSE,FALSE,FALSE
Oral rehydration therapy causes dehydration,FALSE,FALSE,FALSE
The adrenal glands store bile,FALSE,FALSE,FALSE
Deep vein thrombosis improves lung blood flow,FALSE,FALSE,FALSE
The lymphatic system produces insulin,FALSE,FALSE,FALSE
Langerhans cells are found in the liver,FALSE,FALSE,FALSE
Basal metabolic rate increases with age,FALSE,FALSE,FALSE
Most vitamin K is produced in the lungs,FALSE,FALSE,FALSE
The P wave represents ventricular depolarization,FALSE,FALSE,FALSE
Gastric ulcers are caused by excess vitamin C,FALSE,FALSE,FALSE
Classical conditioning was pioneered by Sigmund Freud,FALSE,FALSE,FALSE
Short-term memory can hold about 70 ± 20 items,FALSE,FALSE,FALSE
The placebo effect never produces physiological changes,FALSE,FALSE,FALSE
Maslow’s hierarchy places physiological needs at the top,FALSE,FALSE,FALSE
The bystander effect says people are more likely to help when others are present,FALSE,FALSE,FALSE
Cognitive dissonance causes no discomfort,FALSE,FALSE,FALSE
The Stanford prison experiment proved aggression is purely genetic,FALSE,FALSE,FALSE
Operant conditioning involves learning through genetic inheritance,FALSE,FALSE,FALSE
The Big Five traits include accuracy and generosity,FALSE,FALSE,FALSE
"Mirror neurons fire only during action, never observation",FALSE,FALSE,FALSE
Working memory is located in the occipital lobe,FALSE,FALSE,FALSE
The limbic system controls motor coordination,FALSE,FALSE,FALSE
Harlow’s experiments showed preference for wire mothers,FALSE,FALSE,FALSE
REM sleep lacks eye movement,FALSE,FALSE,FALSE
The fight-or-flight response is mediated by the parasympathetic system,FALSE,FALSE,FALSE
Learned helplessness increases motivation,FALSE,FALSE,FALSE
The Stroop effect speeds reaction time in incongruent tasks,FALSE,FALSE,FALSE
Attachment theory advocates total independence from caregivers,FALSE,FALSE,FALSE
The amygdala is unrelated to fear,FALSE,FALSE,FALSE
Confirmation bias seeks information that refutes beliefs,FALSE,FALSE,FALSE
The primacy effect favors recall of items at the end,FALSE,FALSE,FALSE
The MMPI measures blood pressure,FALSE,FALSE,FALSE
Exposure therapy increases phobias,FALSE,FALSE,FALSE
The Flynn effect refers to declining IQ scores,FALSE,FALSE,FALSE
Bandura formulated classical conditioning,FALSE,FALSE,FALSE
Observational learning cannot occur in humans,FALSE,FALSE,FALSE
PTSD arises only from imaginary events,FALSE,FALSE,FALSE
The hippocampus is not involved in memory,FALSE,FALSE,FALSE
Token economies rely solely on punishment,FALSE,FALSE,FALSE
SSRIs treat broken bones,FALSE,FALSE,FALSE
Nonverbal cues are irrelevant to communication,FALSE,FALSE,FALSE
The WAIS measures blood glucose,FALSE,FALSE,FALSE
Intrinsic motivation depends only on external rewards,FALSE,FALSE,FALSE
Chunking decreases memory capacity,FALSE,FALSE,FALSE
The serial position effect applies only to reversed speech,FALSE,FALSE,FALSE
The DSM-5 lists planets,FALSE,FALSE,FALSE
Systematic desensitization causes anxiety,FALSE,FALSE,FALSE
CBT focuses only on dream analysis,FALSE,FALSE,FALSE
Mere exposure leads to dislike,FALSE,FALSE,FALSE
Attentional resources are unlimited,FALSE,FALSE,FALSE
Emotional intelligence excludes emotion management,FALSE,FALSE,FALSE
IQ tests have SD of 1.575,FALSE,FALSE,FALSE
Yerkes–Dodson Law says performance rises endlessly with arousal,FALSE,FALSE,FALSE
Stereotype threat boosts performance,FALSE,FALSE,FALSE
Dopamine is unrelated to reward,FALSE,FALSE,FALSE
Chronic stress strengthens immunity,FALSE,FALSE,FALSE
Gestalt psychology dissects perception into parts,FALSE,FALSE,FALSE
Edward C. Tolman rejected cognitive maps,FALSE,FALSE,FALSE
Self-efficacy is belief in others’ abilities,FALSE,FALSE,FALSE
Stanley Milgram found low obedience,FALSE,FALSE,FALSE
Introspection is the main modern neuroscience method,FALSE,FALSE,FALSE
Corpus callosum separates brain from spinal cord,FALSE,FALSE,FALSE
Prosocial behavior expects reward,FALSE,FALSE,FALSE
Flow describes boredom,FALSE,FALSE,FALSE
Episodic memory stores grammar rules,FALSE,FALSE,FALSE
Learned behaviors cannot be extinguished,FALSE,FALSE,FALSE
William James/Carl Lange says emotions and physiology occur simultaneously,FALSE,FALSE,FALSE
Availability heuristic uses statistical analysis only,FALSE,FALSE,FALSE
Sigmund Freud listed humility as feature of Narcissistic PD,FALSE,FALSE,FALSE
Implicit memory requires consciousness,FALSE,FALSE,FALSE
Fixed ratio means variable responses,FALSE,FALSE,FALSE
Sleep deprivation enhances cognition,FALSE,FALSE,FALSE
Elisabeth Kübler-Ross outlined seven grief stages including jubilation,FALSE,FALSE,FALSE
Proprioception senses taste,FALSE,FALSE,FALSE
Halo effect judges traits independently,FALSE,FALSE,FALSE
Groupthink yields innovative decisions,FALSE,FALSE,FALSE
The orbitofrontal cortex is not involved in reward evaluation,FALSE,FALSE,FALSE
Trait anxiety changes daily,FALSE,FALSE,FALSE
Polygraph test is 100% accurate,FALSE,FALSE,FALSE
Social facilitation hampers simple tasks,FALSE,FALSE,FALSE
Mental set enhances creativity,FALSE,FALSE,FALSE
Oxytocin inhibits bonding,FALSE,FALSE,FALSE
Repression brings thoughts to consciousness,FALSE,FALSE,FALSE
Bobo Doll experiment showed lack of imitation,FALSE,FALSE,FALSE
Working memory grows with age,FALSE,FALSE,FALSE
Circadian rhythms last 2 hours,FALSE,FALSE,FALSE
Illusion of control underestimates influence,FALSE,FALSE,FALSE
Schemas hinder memory organisation,FALSE,FALSE,FALSE
Altruism never benefits helper,FALSE,FALSE,FALSE
Gate control theory of pain says pain is purely psychological,FALSE,FALSE,FALSE
Metacognition means forgetting thoughts,FALSE,FALSE,FALSE
Cognitive appraisal does not affect emotion,FALSE,FALSE,FALSE
Social support increases stress effects,FALSE,FALSE,FALSE
Episodic memory unaffected by aging,FALSE,FALSE,FALSE
Zeigarnik effect favors completed tasks,FALSE,FALSE,FALSE
Object permanence exists at birth,FALSE,FALSE,FALSE
Prefrontal cortex matures by age five,FALSE,FALSE,FALSE
Cocktail party effect prevents noticing own name,FALSE,FALSE,FALSE
Semantic memory stores only autobiographical events,FALSE,FALSE,FALSE
Priming has no effect,FALSE,FALSE,FALSE
Aggression is purely genetic,FALSE,FALSE,FALSE
Working memory includes olfactory loop,FALSE,FALSE,FALSE
