Claim,Original_Verdict,Gold_Verdict,Pred_Verdict
"Over last 10 years, Texas created 33 % of net new U.S. jobs",TRUE,TRUE,TRUE
Two-thirds of groups targeted for IRS scrutiny were not conservative,TRUE,Half True,Half True
"In 1968 class at Patrice Lumumba University, Abbas and Khamenei were classmates with Putin",TRUE,FALSE,FALSE
"Texas SBOE, led by Perry appointee, voted to remove Thomas Jefferson from standards",TRUE,Half True,Half True
"Bernie Sanders, in top 1 % income bracket, paid only 13 % taxes last year",TRUE,Mostly False,Mostly False
It would take one year to pull out 160 000 troops from Iraq,TRUE,Mostly False,Mostly False
2013-2015: richest 14 Americans gained $157 B; GOP budget asks none to contribute,TRUE,Mostly True,Mostly True
"While Foster was mayor, Kriseman was ineffective — no legislation passed with his name",TRUE,Mostly False,Mostly False
Texas routinely gets much more federal spending than it pays in taxes,TRUE,Mostly True,Mostly True
Cell phone numbers go public this month,TRUE,Mostly True,FALSE
"City of Milwaukee offered $12 M savings in 2011 contract, $184 M over 25 years",TRUE,Mostly False,Mostly False
Clackamas County Commissioners approved a re-negotiated agreement to lower the county’s contribution to TriMet’s Portland-Milwaukie Light Rail project to $19.9 million (from $25 million).,TRUE,TRUE,TRUE
Texas has 11 different felonies you can commit with an oyster.,TRUE,Mostly True,Mostly True
The Obama administration is “unwinding” welfare-to-work requirements.,TRUE,Mostly False,Mostly False
"Electric car sales in Georgia dropped dramatically after a $5,000 tax credit was eliminated and a $200 annual fee imposed July 1.",TRUE,TRUE,TRUE
The Redskins Training Camp deal generated $40 million in new private investment in Richmond.,TRUE,Half True,Half True
The GOP budget plan would cut nearly a million jobs.,TRUE,Pants on Fire,Half True
There are more people living in this country who were not born here than at any time in U.S. history.,TRUE,FALSE,TRUE
Hillary Clinton defended Syria’s President Assad as a “possible reformer” at the start of the civil war.,TRUE,Half True,Half True
The Postal Service’s financial losses result from a 2006 law that drains $5 B a year and forces billions in overpayments.,TRUE,Half True,Mostly True
As many as six federal department budget bills were delayed over amendments banning Confederate flag sales in federal gift shops.,TRUE,TRUE,TRUE
Clackamas County Commissioners approved a re-negotiated agreement to lower the county’s contribution to TriMet from $25M to $19.9M,TRUE,FALSE,Mostly False
Texas has 11 different felonies you can commit with an oyster,TRUE,Mostly True,Mostly True
The Obama administration is unwinding our nation’s welfare-to-work requirements,TRUE,Mostly False,Mostly False
"Electric car sales in Georgia dropped dramatically after a $5,000 credit elimination and $200 registration fee",TRUE,Mostly True,Mostly True
The Redskins Training Camp deal generated $40 million in new private investment in the city,TRUE,Mostly False,Mostly False
The GOP budget plan would cut nearly a million jobs,TRUE,Mostly False,Mostly False
There are more people living in the U.S. who were not born here than at any time in history,TRUE,Mostly True,TRUE
Hillary Clinton defended Assad as a possible reformer early in Syria’s conflict,TRUE,Half True,Half True
Postal Service financial losses stem from a 2006 law requiring $5B annual drainage and overpayments,TRUE,Mostly True,Mostly True
Up to six federal department budget bills delayed by opposition to amendments banning Confederate flag sales in federal gift shops,TRUE,Mostly False,Mostly False
"Since Rick Perry became governor, Texas has gone from 46th to 50th in high school graduation ranking",TRUE,Mostly True,Mostly True
Says Amanda Fritz manages less than 5 percent of city operations,TRUE,Mostly False,Mostly False
The streetcar project planned by Mayor Tom Barrett would be a 1900s-style trolley,TRUE,Pants on Fire,Mostly False
"Americans, in last 30 years, have more than doubled money spent per child on education, with worse results",TRUE,FALSE,Mostly True
Polls show Floridians don’t want to repeal the ACA,TRUE,Pants on Fire,Half True
Bill Pascrell voted to remove the public option,TRUE,FALSE,FALSE
Lawmakers were paid for off-season efforts to lead redistricting for two cities,TRUE,Mostly False,Mostly False
Greg Abbott and surrogates have referred to rape/incest victims as though their cases are minor issues,TRUE,Mostly False,Mostly False
On offshore drilling for energy,TRUE,Mostly False,Mostly False
"Under a proposed Florida medical marijuana amendment, you don’t get refills — you get it forever",TRUE,FALSE,Mostly False
A microchip would be implanted in most people opting for the public health care option,TRUE,FALSE,FALSE
Clackamas County approved an agreement to lower its contribution to TriMet from $25M to $19.9M,TRUE,Mostly False,Mostly False
Texas has 11 different felonies you can commit with an oyster,TRUE,Mostly True,Mostly False
Obama administration is unwinding welfare-to-work requirements,TRUE,Mostly False,Mostly False
"Electric car sales in Georgia dropped dramatically after the $5,000 credit removal and $200 registration fee",TRUE,Mostly True,Mostly True
Redskins Training Camp deal generated $40 million in new private investment in the city,TRUE,Mostly False,Mostly False
The GOP budget plan would cut nearly a million jobs,TRUE,Mostly False,Mostly False
More people in the U.S. now were not born here than ever before,TRUE,Mostly True,TRUE
Hillary Clinton defended Assad as a possible reformer early in the conflict,TRUE,Half True,Half True
Postal Service financial losses result from a 2006 law requiring $5B annual prefunding and overpayments,TRUE,Mostly True,Mostly True
As many as six federal department budget bills delayed by opposition to Confederate flag sales ban in federal gift shops,TRUE,Pants on Fire,Mostly False
"Since Rick Perry became governor, Texas has gone from 46th to 50th in high-school graduation ranking",TRUE,Mostly True,Mostly True
Says Amanda Fritz manages less than 5 percent of city operations,TRUE,Mostly False,Mostly False
The streetcar project planned by Mayor Tom Barrett would be a 1900s-style trolley,TRUE,Mostly False,Mostly False
Americans in last 30 years have more than doubled money spent per child on education with worse results,TRUE,Mostly True,Mostly True
Polls show Floridians don’t want to repeal the ACA,TRUE,Half True,Half True
Bill Pascrell voted to remove the public option,TRUE,FALSE,FALSE
Lawmakers were paid for off-season efforts to lead redistricting for two cities,TRUE,Mostly False,Mostly False
Greg Abbott and surrogates have referred to rape/incest victims as minor issues,TRUE,Mostly False,Mostly False
On offshore drilling for energy,TRUE,Mostly False,Mostly False
"Under a proposed Florida medical marijuana amendment, you don’t get refills — you get it forever",TRUE,Mostly False,Mostly False
A microchip would be implanted in most people opting for the public health care option,TRUE,FALSE,FALSE
"“At his current rate, President Obama will have added more debt … in his first term than each of the previous 43 presidents combined.”",TRUE,Mostly False,FALSE
“We know that Saudi Arabia started al-Qaida.”,TRUE,FALSE,FALSE
“Williamson County Attorney Jana Duty has never prosecuted a single adult felony case.”,TRUE,TRUE,TRUE
"“The fundraising numbers are in, and our grassroots support is unmatched!”",TRUE,Mostly False,Mostly False
“Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job.”,TRUE,Mostly False,Mostly False
"“Although the unemployment rate seems to be improving, it does not reflect real job creation — it’s caused by a shrinking labor force.”",TRUE,Half True,Half True
“Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system …”,TRUE,Mostly False,Mostly False
“Obama voted ‘to cut off funding for our American troops on the battlefield.’”,TRUE,Mostly False,Mostly False
“Wisconsin’s right-to-work bill would likely apply to the Green Bay Packers players and their union.”,TRUE,Mostly False,Mostly False
“The so-called defense minister of the People’s Republic of Donetsk … posted a bragging message about shooting down a transport then deleted it when it was civilian.”,TRUE,Mostly False,Mostly False
“Wisconsin’s right-to-work bill would likely apply to the Green Bay Packers players and their union.” (dup validation),TRUE,Mostly False,Mostly False
Democrats are “falling over each other” to raise taxes 20–30 %,TRUE,FALSE,FALSE
Leisure & Hospitality is one of the highest job-growth sectors; mostly bars/restaurants with low pay and low share earning minimum/subminimum wage,TRUE,Mostly True,Mostly True
"Gov. Scott Walker bought 80 new, brand-new vehicles for the state that “we probably don’t need”",TRUE,Mostly False,Mostly False
"“He passed eight measures, including ones to prevent groping at airport security and to bar sanctuary cities in Texas.”",TRUE,FALSE,Half True
Average federal worker now makes twice as much as average private-sector worker,TRUE,Mostly False,Mostly False
These 15 appointees (on IPAB) will make all major health care decisions for over 300 million Americans,TRUE,FALSE,FALSE
Stores will be barred from selling 100-watt light bulbs as of 2012,FALSE,Mostly False,Mostly False
"“Before our last three presidents, you must go back to the early 1800s to find three presidents in a row being consecutively re-elected.”",FALSE,Half True,FALSE
Jason Carter supports using Georgia tax dollars to promote Obamacare.,FALSE,Mostly False,Mostly False
"“The most recent Associated Press poll has Nader-Gonzalez at 6 %, without any national coverage, against McCain and Obama.”",FALSE,Mostly False,Mostly False
"Dan Patrick said that if women get paid less than men for the same job, “that’s not a problem.”",FALSE,Mostly False,Mostly False
"“We’ve got an average of 5,600 soldiers committing suicide. That’s about 20 a day.”",FALSE,FALSE,FALSE
“Master Locks unionized plant in Milwaukee is running at full capacity for first time in 15 years.”,FALSE,Mostly False,Mostly False
Tom Reed “has actually voted for every single trade deal that has ever come before him in any form.”,FALSE,Pants on Fire,TRUE
“New federal projections estimate that the health-care overhaul will cost $1.76 trillion over 10 years — well above the $940 billion Democrats originally claimed.”,FALSE,Mostly True,Mostly False
Donald Payne and Frank Pallone are “socialists openly serving in U.S. Congress.”,FALSE,FALSE,FALSE
“The unemployment rate may be as high as 42 %.”,FALSE,FALSE,FALSE
“Common Core is not from the federal government; they do not have their fingerprints on this thing at all.”,FALSE,Mostly False,Mostly False
“Social Security is indeed a Ponzi scheme.”,FALSE,FALSE,FALSE
"Scott Walker “brags … about having an independent agency investigate police shootings. Of course, he didn’t fund it.”",FALSE,Mostly False,Mostly False
“What the Arizona law does is make a state crime out of something that already is a federal crime.”,FALSE,Half True,Half True
"“When the country was founded, Congress had exactly the same attitude … about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, we’re open.”",FALSE,FALSE,FALSE
"“In Miami-Dade County, we spend over $20 million every year educating recent immigrants.”",FALSE,Mostly False,Mostly False
“The omnibus bill has only $3.8 billion in earmarks.”,FALSE,Mostly False,Mostly False
“Trump proposed enacting the largest tax increase in American history.”,FALSE,Mostly False,Mostly False
"“Senator McCain has been talking tough about earmarks, and earmarks account for about $18 billion of our budget.”",FALSE,Half True,Half True
“Kim Myers voted repeatedly to raise taxes on Broome County people but made millions off tax savings when her family relocated its HQ.”,FALSE,Mostly False,Mostly False
“California’s Prop 60 (requiring condom use in adult films) would put adult film workers at risk of lawsuits and harassment.”,FALSE,Mostly True,Mostly True
“We pay among the highest tolls in the nation for crossing that bridge.”,FALSE,Mostly False,Mostly False
"“Senators Isakson’s and Chambliss’s votes against unemployment insurance killed nearly 6,000 Georgia jobs.”",FALSE,Mostly False,Mostly False
“Real estate taxes were put in place to pay for Obamacare.”,FALSE,FALSE,FALSE
“Unemployment has run near 12 % or more for the last four years and the Legislature hasn’t done much to lower it.”,FALSE,FALSE,FALSE
“Kay Bailey Hutchison voted for sanctuary cities.”,FALSE,FALSE,FALSE
“John Mica voted to borrow $10 trillion.”,FALSE,Half True,Half True
“Mary Burke told reporters she would have required workers to give up bargained-for healthcare and retirement benefits like Gov. Walker.”,FALSE,Mostly False,Mostly False
“McCain hired some of the biggest lobbyists in Washington to run his campaign.”,FALSE,Mostly False,Mostly False
“We do not want to raise anybody’s tax rates. That’s never been on the table.”,FALSE,Mostly False,Mostly False
"“When terrorists killed more than 250 Americans in Lebanon under Reagan, Democrats didn’t make that a partisan issue.”",FALSE,Half True,Half True
"“This is the first time a party has picked up multiple seats during a regular election since the mid-1980s, making this the largest majority in 25 years.”",FALSE,Mostly False,Mostly False
“John wasn’t this raging populist four years ago when he ran for president.”,FALSE,Mostly False,Mostly False
House Republicans who complained they didn’t have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,FALSE,Mostly True,TRUE
Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,FALSE,FALSE,FALSE
Crime is rising.,FALSE,FALSE,Mostly False
"(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.",FALSE,TRUE,Half True
We’ve got a personal tax system that’s so complicated it costs Americans about $500 billion a year to comply with the current tax code.,FALSE,Mostly True,Mostly True
"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.",FALSE,Mostly False,Mostly False
The bulk of people shot (not in gang violence) are shot with their own weapon.,FALSE,FALSE,FALSE
Bush administration gave GM money “without asking for any conditions of change.”,FALSE,FALSE,FALSE
"URI faculty salaries 2nd lowest among NE land-grant schools, bottom 20% US research.",FALSE,TRUE,TRUE
"Rep. Carlos Curbelo supports offshore drilling, voted against Obama on climate.",FALSE,Pants on Fire,Mostly True
Obama campaign refused to disclose donors amid foreign money suspicion.,FALSE,FALSE,FALSE
Oregon only state paying 100% medical benefits for workers & families.,FALSE,FALSE,FALSE
Rand Paul still “shopping for his billionaire” to fund super PAC.,FALSE,Mostly False,Mostly True
Trump collected $150K in 9/11 relief funds after saying his buildings weren’t affected.,FALSE,Mostly True,Mostly True
"“Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent.”",FALSE,FALSE,FALSE
“An independent payment advisory board created by the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.”,FALSE,FALSE,FALSE
“The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.”,FALSE,TRUE,TRUE
"“Under a bill before the legislature, you’d have to go to court to fire an employee.”",FALSE,FALSE,FALSE
“There is little if any evidence that the use of red-light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.”,FALSE,TRUE,TRUE
"“Says nearly 29,000 Oregonians — almost 5 percent of all homeowners — are 90 days or more delinquent on their mortgage.”",FALSE,Mostly False,TRUE
"“Under the Hate Crimes bill, ‘any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.’”",FALSE,FALSE,FALSE
“This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent.”,FALSE,FALSE,FALSE
“George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.”,FALSE,Mostly True,Mostly True
“Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.”,FALSE,Half True,Half True
“Says Newt Gingrich made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.”,FALSE,Mostly True,Mostly True
“U.S. global AIDS spending helped reduce political instability and violence by 40 percent in recipient nations.”,FALSE,Mostly False,Mostly False
"“State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.”",FALSE,Mostly True,Mostly True
“Unemployment has fallen from 10 percent during the president’s first year in office to 8.5 percent today.”,FALSE,Half True,Half True
"“American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year.”",FALSE,TRUE,TRUE
“Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.”,FALSE,FALSE,FALSE
“I’m the only (Republican) candidate that has actually reduced the size of government.”,FALSE,Mostly False,Mostly False
“After how hard you work … New York City ends up getting the money. I’m Chris Jacobs. I think it’s time we have someone in Albany that’s making sure our region gets our fair share.”,FALSE,Mostly False,Mostly False
“Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year.”,FALSE,TRUE,TRUE
“Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.”,FALSE,TRUE,Mostly False
"“One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids don’t graduate.”",FALSE,Mostly False,Mostly False
“There were 36 states where Republicans who were in charge refused to implement a state (health insurance) exchange.”,FALSE,FALSE,FALSE
"“Says a tweet he sent out wasn’t saying, check out a sex tape. It was just ‘take a look at the background of Alicia Machado.’”",FALSE,Half True,Half True
“A photograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.”,FALSE,FALSE,FALSE
“Texas leads the nation in the percentage of residents without health insurance.”,FALSE,TRUE,TRUE
“Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.”,FALSE,Half True,Half True
“This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.”,FALSE,FALSE,FALSE
“A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.”,FALSE,TRUE,TRUE
“Says Cory Booker supports late-term and partial-birth abortion and opposes safety regulations.”,FALSE,FALSE,FALSE
"“In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering.”",FALSE,TRUE,TRUE
"“Gov. Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month.”",FALSE,Mostly True,Mostly True
"“As Virginia lost over 65,000 jobs, (Tim Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship.”",FALSE,Mostly False,Mostly False
“Says Ohio law gives tax breaks to rich people who own private jets.”,FALSE,FALSE,Mostly True
“Says Paul Ryan’s budget plan ends Medicare.”,FALSE,Mostly False,Mostly False
“Says New Hampshire has the third-highest property tax in the country.”,FALSE,FALSE,FALSE
“Obama’s tax plan cuts taxes ‘for 95 percent of all working families.’”,FALSE,TRUE,TRUE
“Says Colorado Democratic congressional candidate Morgan Carroll racked up $11 billion in new spending in the state Legislature.”,FALSE,Mostly False,Mostly False
“59 percent of Americans today believe that Barack Obama is still a Muslim.”,FALSE,Mostly False,FALSE
“Says a bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.”,FALSE,TRUE,TRUE
“Carol Shea-Porter wants to increase taxes on small business and job creators.”,FALSE,FALSE,FALSE
“99.97 percent of the kids live in poverty that attend Cleveland public schools.”,FALSE,Half True,Half True
"“John Kitzhaber created 128,000 new jobs while governor.”",FALSE,Half True,Half True
“Texas ranks 49th nationally in what we are doing to support our per-pupil investment in education in the state.”,FALSE,Mostly False,Mostly False
"“Despite keeping distance from national media interviewers, I did local press all along, the last three months.”",FALSE,Mostly False,Mostly False
"“What we said was, you can keep (your plan) if it hasn’t changed since the law passed.”",FALSE,FALSE,FALSE
"“In 2006, Bernie Sanders voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants.”",FALSE,Mostly True,Mostly True
"“Says Florida didn’t offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.”",FALSE,FALSE,FALSE
“Says she was the first in her family to go to a four-year college.”,FALSE,FALSE,FALSE
"“There was a Gallup poll in Egypt last year, and 70 percent of Egyptians don’t want our money.”",FALSE,Half True,TRUE
“Americans spend 6.1 billion hours a year on tax preparation.”,FALSE,TRUE,TRUE
"“The truth … during my administration, the FBI’s crime statistics show that violent crime was reduced in Massachusetts by 7 percent.”",FALSE,Mostly True,Mostly False
“Scott Maddox has run losing campaigns for 3 of Florida’s 4 available cabinet positions.”,FALSE,TRUE,TRUE
"“We are now, for the first time ever, energy independent.”",FALSE,FALSE,FALSE
"“Last year, Exxon pocketed nearly $4.7 million every hour.”",FALSE,TRUE,TRUE
“AARP is ‘the largest reseller of insurance in the country’ and ‘has a vested interest in seeing the market for reselling supplemental insurance expands.’”,FALSE,Mostly True,Mostly True
“Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions in Obamacare purposely delayed to avoid confusing the election.”,FALSE,FALSE,FALSE
"“Right now, 50 percent of Florida students leaving high school cannot read at grade level.”",FALSE,Mostly False,Mostly True
“You’re in more trouble if you leave your pet in the car than if you leave your child in the car.”,FALSE,Half True,Half True
“Sen. Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika).”,FALSE,Mostly False,Mostly False
“Says state Supreme Court candidate Peter Kilmartin voted in favor of expanding the good-behavior statute to sex offenders.”,FALSE,FALSE,FALSE
“On letting Occupy Atlanta protesters stay in Woodruff Park.”,FALSE,Mostly False,Mostly False
“What I have put forward does not add a penny to the debt.”,FALSE,Mostly True,FALSE
"“There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.”",FALSE,TRUE,TRUE
"“In first week as governor, Tim Kaine proposed a nearly $4 billion tax increase … including on people earning $17 k a year.”",FALSE,Mostly False,Mostly False
"“On Lee Fisher’s watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries.”",FALSE,Mostly False,Mostly False
“Every president has raised the debt ceiling.”,FALSE,TRUE,TRUE
“Limiting labor negotiations to only wages is how it is for the most part in the private sector.”,FALSE,Mostly False,Mostly False
"“Says on contraception, his plan is cheaper and easier for you than Mark Udall’s.”",FALSE,Mostly False,Mostly False
“The states have always defined marriage.”,FALSE,TRUE,TRUE
"“Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.”",FALSE,Mostly True,Mostly True
"“John McCain opposed legislation to fund levees and flood control programs, which he considers pork.”",FALSE,TRUE,TRUE
"“Mitt Romney pledged to protect (oil companies’) record profits and their billions in special tax breaks, too.”",FALSE,Half True,Half True
“The FCC’s net neutrality policy includes what is essentially a massive tax increase.”,FALSE,FALSE,FALSE
“Mark Warner voted for nearly $1 trillion in new taxes and $7 trillion in new debt.”,FALSE,Mostly False,Mostly False
“State government spending will be increase 10.7 percent this year.”,FALSE,Mostly False,Mostly False
“The typical white male worker in this country is making in real terms what he was making in 1973 and the average worker is making what they were making in 1996.”,FALSE,Mostly False,Mostly False
"“A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry, setting the stage for full-scale gun confiscation.”",FALSE,Pants on Fire,FALSE
“More people die from medical misadventures than firearm accidents nationally and in Florida.”,FALSE,Pants on Fire,FALSE
"“When we took office, let me remind you, there was virtually no international pressure on Iran.”",FALSE,Mostly False,Mostly False
“The minimum wage is mostly an entry-level wage for young people.”,FALSE,Mostly True,Mostly True
“Says six studies verify that the math adds up for Mitt Romney’s tax plan.”,FALSE,Mostly False,Mostly False
"“As governor, I’ve stood up to ... the big oil companies.”",FALSE,Mostly False,Mostly False
"“This year, we’re off to our best private-sector jobs growth since 1999.”",FALSE,TRUE,Mostly True
"“Says abortion doctors are flying into this state, performing abortions and flying out.”",FALSE,Mostly False,Mostly False
“Speaker Gingrich for 20 years supported a federal individual mandate for health insurance.”,FALSE,Mostly False,Mostly True
“There have been at least 100 shootings each year [Angel Taveras] has been mayor of Providence.”,FALSE,Mostly False,Mostly False
“Maurice Ferré says Kendrick Meek has voted 98.6 percent of the time with the Democratic Party.”,FALSE,Mostly False,Mostly False
“We’ve created more jobs in the United States than every other advanced economy combined since I came into office.”,FALSE,FALSE,FALSE
“One in four inmates is an illegal immigrant.”,FALSE,FALSE,FALSE
“The states have always defined marriage.”,FALSE,FALSE,TRUE
“Wisconsin is dead last in income growth among Midwestern states during Gov. Scott Walker’s term.”,FALSE,Mostly True,Mostly True
"“A three-cents-per-ounce soda tax in Philadelphia would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.”",FALSE,FALSE,FALSE
“I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months.”,FALSE,TRUE,Mostly False
“Kendrick Meek was #1 in Florida in taking tobacco cash and then opposed a tax on cigars that would have helped pay for children’s health care.”,FALSE,FALSE,Mostly False
"“Federal Reserve policies have led to a 69 percent rise in corn prices, 44 percent rise in wheat prices and 15 percent spike in sugar prices over the last year.”",FALSE,Mostly False,Mostly False
“On repeal of Wisconsin’s smoking ban.”,FALSE,Mostly False,Mostly False
“Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else.”,FALSE,Mostly False,Mostly False
"“For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.”",FALSE,Mostly False,Mostly False
"“Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasich’s Budget Committee.”",FALSE,Mostly False,Mostly False
“Race to the Top grants require participating states to adopt the Common Core standards as a condition for receiving federal funding.”,FALSE,FALSE,FALSE
“President Barack Obama … wiped away (a program) that allows for shared fingerprinting … so you know who is here legally and illegally.”,FALSE,Pants on Fire,Mostly False
"“John McCain sought the political support of minister John Hagee, who believes Hurricane Katrina was God’s punishment for gay rights and called the Catholic Church the Antichrist.”",FALSE,TRUE,TRUE
“Says 51 percent of federal tax filers paid zero federal income tax.”,FALSE,Half True,Mostly False
"“Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades.”",FALSE,FALSE,FALSE
“I would be the first Republican senator elected in New Jersey in 41 years.”,FALSE,TRUE,TRUE
“Wisconsin’s attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.”,FALSE,Mostly False,Mostly False
"“Says unions take away hard-earned money of teachers, firefighters and police officers to play politics.”",FALSE,Mostly False,Mostly False
“President Bush never did one interview with the New York Times during his entire presidency.”,FALSE,FALSE,FALSE
"“14,000 Americans lose their health insurance every single day.”",FALSE,Mostly False,Mostly False
"“Mr. Trump is self-financing his campaign, so we don’t have any donors.”",FALSE,FALSE,FALSE
"“Nearly 2,000 high schools — roughly 12 percent of all secondary schools — produce about half of the nation’s dropouts.”",FALSE,Mostly False,Mostly False
"“Embryonic stem cell research is at a dead end, with no one good example of a successful treatment.”",FALSE,Mostly False,Mostly False
“The U.S. spends more money on its military than the 16 biggest military budgets in the world combined.”,FALSE,Half True,Mostly False
"“Wisconsin has only one county, Dane, that’s hand-counting the votes in the 2016 presidential recount.”",FALSE,FALSE,FALSE
“Says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi.”,FALSE,Mostly False,Mostly False
“The Affordable Care Act is bringing the cost of health care in our country down.”,FALSE,Half True,Half True
“Tens of thousands of Atlanta households pay more than 30 percent of their income towards rent.”,FALSE,TRUE,TRUE
"“Rick Perry had planned to retire from the legislature until his best friend, David Weeks, and I talked him into switching parties and running for the GOP nomination for agriculture commissioner.”",FALSE,Mostly False,Mostly False
"“As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it.”",FALSE,Mostly True,Mostly True
"“Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence.”",FALSE,Mostly False,Mostly False
“The Providence teacher contract is one of the longest in the country.”,FALSE,Mostly False,Mostly False
"“In 1929 the Secretary of State shut down a program collecting information to protect America, and that move led to millions of deaths in WWII.”",FALSE,Mostly False,Mostly False
“The debt accumulated in the last two years is more debt under this president than all those other presidents combined.”,FALSE,FALSE,FALSE
“The Chris Hani Baragwanath in South Africa is the world’s third-biggest hospital.”,FALSE,Mostly True,FALSE
“Annual precipitation has increased in Rhode Island by over 12 inches in the last century.”,FALSE,TRUE,TRUE
“Vietnamese is the third most commonly spoken language in Texas.”,FALSE,TRUE,TRUE
“The state budget proposal has been submitted on time and [it’s] the earliest that a governor has done so in over two decades.”,FALSE,Mostly False,Mostly False
“Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.”,FALSE,Mostly False,Mostly False
"“What we have now is the most generous, in my opinion, good-time bill in the entire United States.”",FALSE,Mostly False,Mostly False
“There is no Plan B if the transportation referendum is not passed by voters.”,FALSE,Mostly False,Mostly False
“Barack Obama wrote a thesis at Columbia University in which he criticized ‘plutocratic thugs’ and said the Constitution gave Americans ‘the shackles of hypocrisy.’”,FALSE,FALSE,FALSE
"“You’ll find blacks in almost every regiment throughout the South who fought right alongside white Southerners, during the Civil War.”",FALSE,Half True,FALSE
“The most likely triggering cause of (microcephaly) is the DTaP shot … mandated by the Brazilian government for pregnant women.”,FALSE,FALSE,FALSE
“Our economy still has three people looking for every job (opening).”,FALSE,Mostly False,Mostly False
“Says she got unions to agree to about $10 million in reduction of salaries and health benefits while serving as Dane County executive in Wisconsin.”,FALSE,Mostly False,Mostly False
“Democrats have lost more than 900 state legislators since Barack Obama has been president.”,FALSE,FALSE,FALSE
“The state budget proposal has been submitted on time and the earliest that a governor has done so in over two decades.”,FALSE,Half True,Mostly False
"“Carly Fiorina, she’s against banning assault weapons.”",FALSE,FALSE,TRUE
"“Hillary’s baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20 billion per year, multiplied by four years = $80 billion.”",FALSE,Mostly True,Mostly True
"“Says her campaign platform includes the biggest investment in new, good-paying jobs since World War II.”",FALSE,Mostly False,Mostly False
“If Rhode Island does a hybrid [retirement] plan we’ll be the first state in the nation to do this.”,FALSE,TRUE,TRUE
